UT,Ack_text,Funders,Funders_Text,row_id
WOS:000244719000005,"I would like to thank Nils Roll-Hansen, Anders Strand, John Dupre, Richard Lewontin, and the colloquium of the Ethics Program at the University of Oslo for helpful discussions, comments and suggestions, and Cynthia Shen for editing parts of the manuscript. Earlier drafts of this paper were presented at a Workshop in Physics and Biology: Reduction and Complexity at the University of Oslo in September 2004 and in the Seminar of the Life Sciences Research Group at Harvard University in October 2004. I am grateful for the feedback I received on these occasions and at the 2004 PSA biannual meeting. Financial Support for this work was provided from The Ethics Program and The Faculty of Arts at the University of Oslo and from the Fulbright Foundation.",https://ror.org/01xtthb56;https://ror.org/00300j256,"University of Oslo - Norway (<a href=""https://ror.org/01xtthb56"" target=""_blank"">https://ror.org/01xtthb56</a>)<br>Fulbright Association - United States (<a href=""https://ror.org/00300j256"" target=""_blank"">https://ror.org/00300j256</a>)",28
WOS:000244719000006,"Early versions of this paper were presented at the British Society for the Philosophy of Science Annual Meeting and the Popper Seminar in the Department of Philosophy, Logic and Scientific Method at the London School of Economics. Engaging discussions with Harald Atmanspacher, Fred Kronz, Carl Gillett, Hans Primas, and Michael Silberstein are gratefully acknowledged. The Alexander von Humboldt Foundation as well as the Federal Ministry of Education and Research and the Program for the Investment in the Future of the German Government provided much appreciated financial support.",,,29
WOS:000244719000007,0,,,30
WOS:000244719000008,0,,,31
WOS:000244719000009,I would like to thank Jeffrey Bub and Mathias Frisch for their comments on earlier versions of this paper.,,,32
WOS:000244719000010,0,,,33
WOS:000244719000011,"I wish to thank John Earman, Florian Girelli, John Moffat, Carlo Rovelli and Danny Terno for discussions. This work was supported by the Swiss National Science Foundation (grant PBSK1-102693).",https://ror.org/00yjd3n13,"Swiss National Science Foundation - Switzerland (<a href=""https://ror.org/00yjd3n13"" target=""_blank"">https://ror.org/00yjd3n13</a>)",34
WOS:000244719000012,"For comments and discussions, we are grateful to Wayne Myrvold and especially Itamar Pitowsky. For support, JB would like to thank the Faculty of Arts and Sciences, UMBC, the PPM Group, Konstanz University and the LSE Centre for Philosophy of Natural and Social Science.",https://ror.org/02qskvh78;https://ror.org/01n6r0d03;https://ror.org/0546hnb39;https://ror.org/0090zs177,"University of Maryland, Baltimore County - United States (<a href=""https://ror.org/02qskvh78"" target=""_blank"">https://ror.org/02qskvh78</a>)<br>PPMA Group of Associations - United Kingdom (<a href=""https://ror.org/01n6r0d03"" target=""_blank"">https://ror.org/01n6r0d03</a>)<br>University of Konstanz - Germany (<a href=""https://ror.org/0546hnb39"" target=""_blank"">https://ror.org/0546hnb39</a>)<br>London School of Economics and Political Science - United Kingdom (<a href=""https://ror.org/0090zs177"" target=""_blank"">https://ror.org/0090zs177</a>)",35
WOS:000244719000013,"I would like to thank David Malament, Brian Woodcock, and Katherine Peters for helpful discussions and comments on an earlier version of this paper.",,,36
WOS:000244719000014,0,,,37
WOS:000244719000015,"I must thank Laura Ruetsche, Jon Tsou, and Karen Frost-Arnold for extremely helpful comments on earlier versions of this paper.",,,38
WOS:000244719000016,"Much of the material here has appeared in expanded form in Snyder 2005. I received helpful comments on presented versions of this paper from Michel Janssen, Jim Lennox, Sandra Mitchell, and John Norton. I also thank Peter Achinstein, Giovanni Boniolo, and Malcolm Forster for comments on earlier drafts.",,,39
WOS:000244719000017,0,,,40
WOS:000244719000018,The author is Research Assistant of the Fund for Scientific Research—Flanders.,,,41
WOS:000244719000019,0,,,42
WOS:000244719000020,0,,,43
WOS:000244719000021,"I would like to thank Nancy Cartwright, and the audience at the Experimental Philosophy Laboratory at University of California, San Diego, for helpful comments on earlier versions of this paper.",,,44
WOS:000244719000022,"I wish to thank Sandy Mitchell, Paul Churchland, Brian Keeley, and Deborah Mayo for their valuable comments on this paper.",,,45
WOS:000244719000023,0,,,46
WOS:000244719000024,0,,,47
WOS:000244719000025,"My thanks to Juan Comesana, Malcolm Forster, Carolina Sartorio, and Elliott Sober for helpful comments on an earlier draft.",,,48
WOS:000244719000026,Work on this paper was conducted under the CPNSS research project Causality: Metaphysics and Methods. I am very grateful to the AHRB for funding. Many thanks to Nancy Cartwright for valuable comments on an earlier draft.,https://ror.org/0505m1554,"Arts and Humanities Research Council - United Kingdom (<a href=""https://ror.org/0505m1554"" target=""_blank"">https://ror.org/0505m1554</a>)",49
WOS:000244719000027,0,,,50
WOS:000244719000028,"This article is the result of my three years of as “science” reviewer for The Year's Work in Critical and Cultural Theory. I am grateful to the editor, Martin McQuillan, for the opportunity. I here develop some of the ideas which originated in my contribution to volume 12 of that journal.",,,51
WOS:000244719000029,"This paper was originally developed at the NEH Summer Institute on Science and Values at the University of Pittsburgh. Special thanks to Sandra Mitchell, co-director of that institute, for all of her comments, criticisms, and suggestions. I would also like to thank Lynn Hankinson Nelson, Jean Roberts, and Andrea Woody for their comments on earlier drafts.",,,52
WOS:000244719000030,"Thanks to Peter Godfrey-Smith, Kim Sterelny, Brett Calcott, Susanna Rinard, Rick Michod, Alirio Rosales, John Damuth, and Jim Griesemer for comments and discussion.",,,53
WOS:000244719000031,"Thanks are due to Jim Griesemer, the Philosophical Pizza Munchers, and Samir Okasha for helpful discussions of the issues under consideration here. Matthew Haber was supported by NSF Research Grant #0137255. This work is fully collaborative: the authors are listed alphabetically.",https://ror.org/021nxhr62,"U.S. National Science Foundation - United States (<a href=""https://ror.org/021nxhr62"" target=""_blank"">https://ror.org/021nxhr62</a>)",54
WOS:000244719000032,"For help with this paper, I would like to thank Colin Allen, Bernard Berofsky, John Bickle, Carl Gillett, Brian Keeley, and Philip Kitcher.",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],55
WOS:000244719000033,0,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],56
WOS:000244719000034,0,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],57
WOS:000244719000035,0,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],58
WOS:000244719000036,"I want to thank Angelo Cei, Steven French, and Scott Shalkowski for helpful comments, and Philip Good for sparking the initial interest to the topic.",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],59
WOS:000244719000037,"I am grateful for comments from Paul Griffiths, David Papineau, John MacFarlane, James Sage, and Branden Fitelson, as well as for comments on earlier versions of this paper presented at the July 2003 Biannual Conference of the International Society for the History, Philosophy, and Social Studies of Biology, the April 2004 Central Division Meeting of the American Philosophical Association, and the November 2004 Biannual Meeting of the Philosophy of Science Association.",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],60
WOS:000244719000038,"Both authors contributed equally to this article. We would like to thank Elliott Sober, Peter Godfrey-Smith, Lisa Lloyd, Bill Wimsatt, and audiences at the Australian National University and the 2004 PSA meeting in Austin for helpful comments and discussion.",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],61
WOS:000244719000039,I am thankful to Zachary Ernst and Michael Ruse for providing guidance and helpful commentary during the process of writing this paper.,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],62
WOS:000244719000040,"Thanks to Jim Thomas, Roberta Millstein, and the members of the D.C. History and Philosophy of Biology Group, especially Lindley Darden, Eric Saidel, Ilya Farber, and Jason Baker.",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],63
WOS:000244719000041,"I have benefited from discussions with Luc Bovens, Branden Fitelson, Jim Joyce, Sherri Roush, and Gerhard Schurz. My research was supported by the Alexander von Humboldt Foundation, the Federal Ministry of Education and Research, and the Program for the Investment in the Future (ZIP) of the German Government through a Sofja Kovalevskaja Award.",https://ror.org/012kf4317;https://ror.org/04pz7b180;https://ror.org/048nacf41,"Alexander von Humboldt Foundation - Germany (<a href=""https://ror.org/012kf4317"" target=""_blank"">https://ror.org/012kf4317</a>)<br>Federal Ministry of Education and Research - Germany (<a href=""https://ror.org/04pz7b180"" target=""_blank"">https://ror.org/04pz7b180</a>)<br>Federal Government of Germany - Germany (<a href=""https://ror.org/048nacf41"" target=""_blank"">https://ror.org/048nacf41</a>)",64
WOS:000244719000042,"I am grateful for helpful comments and criticisms by Jason Alexander, Richard Arneson, Thomas Baldwin, Jossi Berkovitz, Richard Bradley, Luc Bovens, Juliana Cardinale, Nancy Cartwright, John Collins, Peter Dietsch, Adam Elga, Branden Fitelson, Till Grune-Yanoff, Jonathan Halvorson, Jim Joyce, Isaac Levi, Ned McClennen, Paul Schweinzer, Dana Tulodziecki, Bruno Verbeek, Ioannis Votsis, and Jo Wolff. Special thanks to Ulrich K. Müller. I gratefully acknowledge financial support from the AHRB, the Aristotelian Society, the Department of Philosophy, Logic and Scientific Method of the London School of Economics, as well as the Philosophy, Probability and Modeling Group at Konstanz, which was supported by the Alexander von Humboldt Foundation, the Federal Ministry of Education and Research, and the Program for the Investment in the Future (ZIP) of the German Government through a Sofja Kovalevskaja Award to Luc Bovens.",https://ror.org/0505m1554;https://ror.org/0090zs177;https://ror.org/012kf4317;https://ror.org/04pz7b180,"Arts and Humanities Research Council - United Kingdom (<a href=""https://ror.org/0505m1554"" target=""_blank"">https://ror.org/0505m1554</a>)<br>London School of Economics and Political Science - United Kingdom (<a href=""https://ror.org/0090zs177"" target=""_blank"">https://ror.org/0090zs177</a>)<br>Alexander von Humboldt Foundation - Germany (<a href=""https://ror.org/012kf4317"" target=""_blank"">https://ror.org/012kf4317</a>)<br>Federal Ministry of Education and Research - Germany (<a href=""https://ror.org/04pz7b180"" target=""_blank"">https://ror.org/04pz7b180</a>)",65
WOS:000244719000043,0,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],66
WOS:000244719000044,0,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],67
WOS:000244719000045,0,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],68
WOS:000244719000046,0,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],69
WOS:000244719000047,0,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],70
WOS:000244719000048,"I would like to thank Wendy Hui Kyong Chun for the conference invitation which initiated this paper. Besides PSA 2004, versions of the paper were presented in Fall 2003 at Harvard University's Color Lines Conference and Canadian and Pacific SWIP conferences, and during 2004 to philosophy departments at Cape Breton University, Saint Mary's University, University of Tennessee-Knoxville, and University at Albany–SUNY, and the history and philosophy of science department at Indiana University. My thanks to conference organizers and all of these audiences for their helpful comments and generous hospitality, and to Melinda Fagan, Malia Fullerton, Jim Griesemer, and Kathleen Okruhlik whose contributions made this a better paper.",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],71
WOS:000244719000049,"I would like to thank Otávio Bueno, Steven French, Sean Stidd, Mauricio Suarez, and Susan Vineberg for their helpful comments on earlier versions of this paper.",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],72
WOS:000244719000050,0,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],73
WOS:000244719000051,"This research was supported by a fellowship from the University of Texas, Austin. Thanks to Carl Salk, Sahotra Sarkar, Elliott Sober, and Michael Weisberg for helpful comments.",https://ror.org/00hj54h04,"The University of Texas at Austin - United States (<a href=""https://ror.org/00hj54h04"" target=""_blank"">https://ror.org/00hj54h04</a>)",74
WOS:000244719000052,0,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],75
WOS:000244719000053,0,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],76
WOS:000244719000054,"I would like to thank Carl Hoefer, Robert Rynasiewicz, and John Norton for helpful comments and suggestions in the development of this essay.",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],77
WOS:000244719000055,0,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],78
WOS:000244719000056,0,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],79
WOS:000244719000057,0,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],80
WOS:000244719000058,"Many thanks to John Worrall, James Ladyman, and Stathis Psillos for valuable comments on the material in this paper. I gratefully acknowledge financial support for attending the PSA meeting from a National Science Foundation travel grant as well as from the University of Bristol.",https://ror.org/021nxhr62;https://ror.org/0524sp257,"U.S. National Science Foundation - United States (<a href=""https://ror.org/021nxhr62"" target=""_blank"">https://ror.org/021nxhr62</a>)<br>University of Bristol - United Kingdom (<a href=""https://ror.org/0524sp257"" target=""_blank"">https://ror.org/0524sp257</a>)",81
WOS:000244719000059,Ramsey sentence realism as an answer to the pessimistic meta-induction,[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],82
WOS:000244719000060,"I wish to thank Steven French for patient suggestions, corrections, and advice. Discussions with Juha Saatsi and with the people of HPS and Postgraduate informal seminars of the School of Philosophy of the University of Leeds helped me to clarify the philosophical aspects of the work. I am in debt to Sara Lombardi for illuminating discussions on the physics. Mauro Dorato and Joseph Melia kindly read and carefully commented on earlier versions of this work.",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],83
WOS:000234866100001,"The idea for this article derives from a seminar at the University of Barcelona on ‘La riforma dell’astronomia: scienza, filosofia e cultura tra Rinascimento e prima età moderna’ organized by M. A. Granada and held by D. Tessicini in May 2004. Prof. Granada is the author of Sections 2 The history of astronomy in the, 4 The presentation of the work: the novelty and antiquity of astronomical doctrines and other possible anti-Fracastorian issues, 7 The figure of the Pontiff and Dr Tessicini of 3 Dedications and intermediaries, 5 Eccentrics and homocentrics, 6 The calendar reform. We wish to express our gratitude to M.-P. Lerner and R. S. Westman for their comments; and to Patrick Boner and Andrew Campbell for their readings of earlier English drafts. The authors are solely responsible for the remaining errors.",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],84
WOS:000234866100002,"We would like to thank Bruno Cavazza and Edvige Schettino for their expert advice, and Georgette Taylor for help with the preparation of the manuscript. We thank our colleagues in the LSE–Amsterdam measurement project for helpful discussions. Hasok Chang would also like to thank Jed Buchwald, Sungook Hong, the Dibner Institute, and the Sloan Foundation for the invitation to participate in the very stimulating workshop on the history of the continuous spectrum of radiation in 1997, and Martin Hilbert for the fruitful collaboration at that workshop.",[No funding organization for this acknowledgment],[No funding organization for this acknowledgment],85
WOS:000234866100003,"I want to thank Steven French and an anonymous referee for helpful comments, and Joseph Melia for stressing the importance of multiple realisability. The research for this paper was supported in part by the Finnish Cultural Foundation.",https://ror.org/027xav248,"Finnish Cultural Foundation - Finland (<a href=""https://ror.org/027xav248"" target=""_blank"">https://ror.org/027xav248</a>)",86
WOS:000234866100004,"I am grateful to Melinda Fagan, Yves Gingras, Giora Hon, and one anonymous referee for Studies in History and Philosophy of Science for helpful advice on earlier drafts of this paper. I presented this material at the Departments of History and Philosophy of Science at the University of Cambridge, UK, and Indiana University Bloomington, as well as at the HPS Program at the University of Notre Dame, Indiana, and I wish to thank the audiences for instructive comments and questions. Portions of the research for this article were funded by a grant from the Wellcome Trust.",https://ror.org/029chgv08,"Wellcome Trust - United Kingdom (<a href=""https://ror.org/029chgv08"" target=""_blank"">https://ror.org/029chgv08</a>)",87
WOS:000234866100005,Many thanks to Jeff Ketland for very useful discussion on an earlier version of this paper. Thanks also to an anonymous referee for this journal for helpful feedback which helped me improve the paper.,,,88
WOS:000234866100006,0,,,89
WOS:000234866100007,0,,,90
WOS:000234866100008,0,,,91
WOS:000234866100009,0,,,92
WOS:000234866100010,0,,,93
WOS:000234268700001,0,,,94
WOS:000234268700002,"I wish to thank Michel ter Hark, Leon Horsten, Huib Looren de Jong, Jeanne Peijnenburg, and an anonymous referee of this journal for their comments. An earlier version of the present article was published in Dutch as ‘Het logische behaviorisme van Rudolf Carnap’, Tijdschrift voor Filosofie, 65 (2003), 541–565. Walter van der Star made a translation of the Dutch text into English, which was revised and extended by the author.",,,95
WOS:000234268700003,"An early version of this paper was presented at the British Society for the Philosophy of Science conference in Kent, 2004. I would like to thank the audience there for helpful discussion, particularly Anjan Chakravartty and Alex Broadbent. I would also like to thank Professor Peter Lipton and Professor Nick Jardine for their very insightful comments on earlier drafts.",,,96
WOS:000234268700004,0,,,97
WOS:000234268700005,I would like to thank the British Academy for their support during the completion of this article through their Post-Doctoral Fellowship scheme. Thank you also to Sharani Osborn and Ipek Demir for their comments on this piece.,,,98
WOS:000234268700017,0,,,99
WOS:000234268700018,"Thanks to Karen Barad, Donna Haraway, and John Zammito for helpful comments on an earlier version.",,,100
WOS:000227413600002,I would like to thank Clark Glymour and Richard Scheines for helpful comments on an earlier draft of this essay.,,,101
WOS:000227413600003,"I would like to thank Richard Boyd, Tamar Szabo-Gendler, Christopher Hitchcock, Ishani Maitra, Daniel Nolan, Sydney Shoemaker, Zoltan Gendler-Szabo, and Meg Wallace for discussions and helpful comments on previous drafts of this paper. Special thanks are due to the extremely detailed comments of one Anonymous referee. These occasioned changes small and large, and I regret that I could not take them all into account.",,,102
WOS:000227413600004,"My gratitude to J. N. Butterfield (All Souls College, Oxford), I. E. Douven (Erasmus University, Rotterdam), B. C. van Fraassen (Princeton University), B. Monton (University of Kentucky), H. Radder (Free University, Amsterdam) for helpful remarks, and to J. J. Koenderink (Helmholtz Insti- tute, Faculty of Physics & Astronomy, Utrecht University) for providing literature about the physics of our eyes. I also thank the Dutch National Science Foundation (NWO), Humanities Division, for financial support.",,,103
WOS:000227413600005,"I am grateful to Luc Bovens for comments on several earlier versions of this paper and to Josh Snyder. My research was supported by the Alexander von Humboldt Foundation, the Federal Ministry of Education and Research, and the Program for the Investment in the Future (ZIP) of the German Government through a Sofja Kovalevskaja Award.",,,104
WOS:000227413600006,An earlier version of this paper was given to a history and philosophy of science seminar at Leeds. I am very grateful to those present for their comments. I should also like to thank two Anonymous referees for this journal for their detailed and helpful suggestions.,,,105
WOS:000227413600007,"The author would like to thank Peter M. Todd, Anita Todd and Andreas Wilke and two Anonymous reviewers for comments on earlier drafts. This research was supported by a Minerva fellowship.",,,106
WOS:000227413600008,0,,,107
WOS:000227413600009,"Thanks to Frank Jackson, Fred Kroon, Jonathon McKuen-Green, Kristie Miller, Denis Robinson and an anonymous referee for the BJPS for helpful discussions of this paper.",,,108
WOS:000227413600010,"Many thanks to George Levy, and the anonymous referees.    ",,,109
WOS:000229699700001,I am most grateful to B. White and to a referee for the Journal.,,,110
WOS:000229699700002,I would like to thank Jereon Vink and Jeffrey Bub for conversations some years ago on the possibility of making every physical observable determinate. I would like to thank Meir Hemmo for renewing my interest in this proposal. And I would like to thank David Malament for helpful discussions and Brian Woodcock and two referees for their helpful comments on an earlier draft of this paper,,,111
WOS:000229699700003,0,,,112
WOS:000229699700004,"I thank George Ellis, Chuang Liu, David Malament, Steve Savitt, Steve Weinstein, and audiences in Columbus, Gainesville, Pittsburgh, and Princeton for their generous help.",,,113
WOS:000229699700005,"Thanks to Alan Hajek, Jim Hawthorne, Jim Joyce, Elliott Sober, Michael Strevens, and an anonymous referee of this journal for useful comments and suggestions. ",,,114
WOS:000229699700006,"Thanks to Neil Manson, Tim McGrew, Lydia McGrew, Del Ratzsch and Brian Pitts for their comments on an earlier draft. Thanks also to Peter van Inwagen, Alvin Plantinga, and the Department of Philosophy at the University of Notre Dame for hosting ‘The Mathematics and Philosophy of Cosmic Fine-tuning: A Workshop’ in April 2003. This paper grew out of discussions at that workshop. A version was presented at the Eastern Division meeting of the Society of Christian Philosophers, Asbury College, 4 December 2003.",,,115
WOS:000229699700007,0,,,116
